,Full Name,Rank,State,State_Name,Gender,Party,Term Date,Approve,Disapprove,No Opinion,ideology,rank_from_low,Link,Website,url_temp,url_temp_final
36,Richard Shelby,senior,AL,Alabama,Male,Republican,2017-01-03 to 2023-01-03,0.47,0.27,0.26,0.5552092035880505,46.0,https://www.govtrack.us/congress/members/richard_shelby/300089,https://www.shelby.senate.gov,"https://en.wikipedia.org/wiki/File:Richard_Shelby,_official_portrait,_112th_Congress_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Richard_Shelby%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/431px-Richard_Shelby%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg
37,Ron Wyden,senior,OR,Oregon,Male,Democrat,2017-01-03 to 2023-01-03,0.5,0.24,0.26,0.17386429005938328,15.0,https://www.govtrack.us/congress/members/ron_wyden/300100,https://www.wyden.senate.gov,https://en.wikipedia.org/wiki/File:Ron_Wyden_official_photo_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Ron_Wyden_official_photo_%28cropped%29.jpg/457px-Ron_Wyden_official_photo_%28cropped%29.jpg
38,Roy Blunt,senior,MO,Missouri,Male,Republican,2017-01-03 to 2023-01-03,0.39,0.35,0.26,0.8272293354471204,76.0,https://www.govtrack.us/congress/members/roy_blunt/400034,https://www.blunt.senate.gov,"https://en.wikipedia.org/wiki/File:Roy_Blunt,_Official_Portrait,_112th_Congress_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Roy_Blunt%2C_Official_Portrait%2C_112th_Congress_%28cropped%29.jpg/447px-Roy_Blunt%2C_Official_Portrait%2C_112th_Congress_%28cropped%29.jpg
39,John Boozman,senior,AR,Arkansas,Male,Republican,2017-01-03 to 2023-01-03,0.47,0.26,0.27,0.8401621855792358,82.0,https://www.govtrack.us/congress/members/john_boozman/400040,https://www.boozman.senate.gov/public,"https://en.wikipedia.org/wiki/File:John_Boozman,_official_portrait,_112th_Congress_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/John_Boozman%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/439px-John_Boozman%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg
40,Richard Burr,senior,NC,North Carolina,Male,Republican,2017-01-03 to 2023-01-03,0.4,0.3,0.3,0.6206320504052198,49.0,https://www.govtrack.us/congress/members/richard_burr/400054,https://www.burr.senate.gov,https://en.wikipedia.org/wiki/File:Richard_Burr_official_portrait_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Richard_Burr_official_portrait_%28cropped%29.jpg/452px-Richard_Burr_official_portrait_%28cropped%29.jpg
41,Jerry Moran,junior,KS,Kansas,Male,Republican,2017-01-03 to 2023-01-03,0.38,0.32,0.3,0.7925876391817364,71.0,https://www.govtrack.us/congress/members/jerry_moran/400284,https://www.moran.senate.gov,"https://en.wikipedia.org/wiki/File:Jerry_Moran,_official_portrait,_112th_Congress_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Jerry_Moran%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/412px-Jerry_Moran%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg
42,Robert Portman,junior,OH,Ohio,Male,Republican,2017-01-03 to 2023-01-03,0.38,0.31,0.32,0.6371406470932067,50.0,https://www.govtrack.us/congress/members/robert_portman/400325,https://www.portman.senate.gov,https://en.wikipedia.org/wiki/File:Rob_Portman_official_portrait_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Rob_Portman_official_portrait_%28cropped%29.jpg/544px-Rob_Portman_official_portrait_%28cropped%29.jpg
43,Patrick Toomey,junior,PA,Pennsylvania,Male,Republican,2017-01-03 to 2023-01-03,0.37,0.34,0.29,0.7127245029490248,60.0,https://www.govtrack.us/congress/members/patrick_toomey/400408,https://www.toomey.senate.gov,https://en.wikipedia.org/wiki/File:Pat_Toomey_official_photo_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Pat_Toomey_official_photo_%28cropped%29.jpg/424px-Pat_Toomey_official_photo_%28cropped%29.jpg
44,Chris Van Hollen,junior,MD,Maryland,Male,Democrat,2017-01-03 to 2023-01-03,0.44,0.21,0.34,0.15665908699197698,11.0,https://www.govtrack.us/congress/members/chris_van_hollen/400415,https://www.vanhollen.senate.gov,https://en.wikipedia.org/wiki/File:Chris_Van_Hollen_official_portrait_115th_Congress_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Chris_Van_Hollen_official_portrait_115th_Congress_%28cropped%29.jpg/451px-Chris_Van_Hollen_official_portrait_115th_Congress_%28cropped%29.jpg
45,John Thune,senior,SD,South Dakota,Male,Republican,2017-01-03 to 2023-01-03,0.59,0.27,0.14,0.7623453531391945,69.0,https://www.govtrack.us/congress/members/john_thune/400546,https://www.thune.senate.gov,"https://en.wikipedia.org/wiki/File:John_Thune,_official_portrait,_111th_Congress_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/John_Thune%2C_official_portrait%2C_111th_Congress_%28cropped%29.jpg/534px-John_Thune%2C_official_portrait%2C_111th_Congress_%28cropped%29.jpg
46,Michael Bennet,senior,CO,Colorado,Male,Democrat,2017-01-03 to 2023-01-03,0.39,0.29,0.31,0.31960931368501216,36.0,https://www.govtrack.us/congress/members/michael_bennet/412330,https://www.bennet.senate.gov/public,https://en.wikipedia.org/wiki/File:Michael_Bennet_Official_Photo_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Michael_Bennet_Official_Photo_%28cropped%29.jpg/463px-Michael_Bennet_Official_Photo_%28cropped%29.jpg
47,Todd Young,senior,IN,Indiana,Male,Republican,2017-01-03 to 2023-01-03,0.39,0.26,0.35,0.7422806681898168,66.0,https://www.govtrack.us/congress/members/todd_young/412428,https://www.young.senate.gov,https://en.wikipedia.org/wiki/File:Senator_Todd_Young_official_portrait_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Senator_Todd_Young_official_portrait_%28cropped%29.jpg/450px-Senator_Todd_Young_official_portrait_%28cropped%29.jpg
48,James Lankford,junior,OK,Oklahoma,Male,Republican,2017-01-03 to 2023-01-03,0.39,0.32,0.29,0.8775324073088356,89.0,https://www.govtrack.us/congress/members/james_lankford/412464,https://www.lankford.senate.gov,https://en.wikipedia.org/wiki/File:James_Lankford_official_portrait_115th_congress_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/James_Lankford_official_portrait_115th_congress_%28cropped%29.jpg/571px-James_Lankford_official_portrait_115th_congress_%28cropped%29.jpg
49,Tim Scott,junior,SC,South Carolina,Male,Republican,2017-01-03 to 2023-01-03,0.52,0.22,0.27,0.8235673172095974,74.0,https://www.govtrack.us/congress/members/tim_scott/412471,https://www.scott.senate.gov,"https://en.wikipedia.org/wiki/File:Tim_Scott,_official_portrait,_113th_Congress_(cropped_2).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Tim_Scott%2C_official_portrait%2C_113th_Congress_%28cropped_2%29.jpg/453px-Tim_Scott%2C_official_portrait%2C_113th_Congress_%28cropped_2%29.jpg
50,Richard Blumenthal,senior,CT,Connecticut,Male,Democrat,2017-01-03 to 2023-01-03,0.46,0.37,0.17,0.12224258074172445,8.0,https://www.govtrack.us/congress/members/richard_blumenthal/412490,https://www.blumenthal.senate.gov,https://en.wikipedia.org/wiki/File:Richard_Blumenthal_Official_Portrait_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Richard_Blumenthal_Official_Portrait_%28cropped%29.jpg/595px-Richard_Blumenthal_Official_Portrait_%28cropped%29.jpg
51,Marco Rubio,senior,FL,Florida,Male,Republican,2017-01-03 to 2023-01-03,0.41,0.38,0.21,0.8830817900318061,91.0,https://www.govtrack.us/congress/members/marco_rubio/412491,https://www.rubio.senate.gov,https://en.wikipedia.org/wiki/File:Senator_Rubio_official_portrait_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Senator_Rubio_official_portrait_%28cropped%29.jpg/441px-Senator_Rubio_official_portrait_%28cropped%29.jpg
52,Rand Paul,junior,KY,Kentucky,Male,Republican,2017-01-03 to 2023-01-03,0.43,0.38,0.2,0.6455265008634656,53.0,https://www.govtrack.us/congress/members/rand_paul/412492,https://www.paul.senate.gov,"https://en.wikipedia.org/wiki/File:Rand_Paul,_official_portrait,_112th_Congress_alternate_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Rand_Paul%2C_official_portrait%2C_112th_Congress_alternate_%28cropped%29.jpg/532px-Rand_Paul%2C_official_portrait%2C_112th_Congress_alternate_%28cropped%29.jpg
53,John Hoeven,senior,ND,North Dakota,Male,Republican,2017-01-03 to 2023-01-03,0.54,0.25,0.22,0.8269140069856623,75.0,https://www.govtrack.us/congress/members/john_hoeven/412494,https://www.hoeven.senate.gov,https://en.wikipedia.org/wiki/File:Hoeven_Official_Portrait_2014_(cropped).JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Hoeven_Official_Portrait_2014_%28cropped%29.JPG/427px-Hoeven_Official_Portrait_2014_%28cropped%29.JPG
54,Mike Lee,senior,UT,Utah,Male,Republican,2017-01-03 to 2023-01-03,0.47,0.28,0.25,0.7031336042945496,57.0,https://www.govtrack.us/congress/members/mike_lee/412495,https://www.lee.senate.gov/public,"https://en.wikipedia.org/wiki/File:Mike_Lee,_official_portrait_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Mike_Lee%2C_official_portrait_%28cropped%29.jpg/477px-Mike_Lee%2C_official_portrait_%28cropped%29.jpg
55,Ron Johnson,senior,WI,Wisconsin,Male,Republican,2017-01-03 to 2023-01-03,0.38,0.36,0.27,0.7137976045767491,61.0,https://www.govtrack.us/congress/members/ron_johnson/412496,https://www.ronjohnson.senate.gov,"https://en.wikipedia.org/wiki/File:Ron_Johnson,_official_portrait,_112th_Congress_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Ron_Johnson%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/464px-Ron_Johnson%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg
56,Brian Schatz,senior,HI,Hawaii,Male,Democrat,2017-01-03 to 2023-01-03,0.58,0.23,0.19,0.2235274329186771,22.0,https://www.govtrack.us/congress/members/brian_schatz/412507,https://www.schatz.senate.gov,"https://en.wikipedia.org/wiki/File:Brian_Schatz,_official_portrait,_113th_Congress_2_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Brian_Schatz%2C_official_portrait%2C_113th_Congress_2_%28cropped%29.jpg/434px-Brian_Schatz%2C_official_portrait%2C_113th_Congress_2_%28cropped%29.jpg
57,Tammy Duckworth,junior,IL,Illinois,Female,Democrat,2017-01-03 to 2023-01-03,0.41,0.33,0.26,0.2636323634238522,27.0,https://www.govtrack.us/congress/members/tammy_duckworth/412533,https://www.duckworth.senate.gov,https://en.wikipedia.org/wiki/File:Tammy_Duckworth_115th_official_portrait_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Tammy_Duckworth_115th_official_portrait_%28cropped%29.jpg/536px-Tammy_Duckworth_115th_official_portrait_%28cropped%29.jpg
